Inlet TDS (g/kg),Flow (L/s),Recovery,CAPEX (kUSD/year),OPEX (kUSD/year),Status
121.866153,5.797248567,0.050403216,27.02966218,129.7299026,1
121.866153,5.797248567,0.451654202,0,0,0
121.866153,5.797248567,0.207906701,0,0,0
121.866153,5.797248567,0.311309167,0,0,0
121.866153,5.797248567,0.167535726,87.58604382,431.5174208,1
121.866153,5.797248567,0.148120025,77.10498317,376.1402783,1
121.866153,5.797248567,0.539620808,0,0,0
121.866153,5.797248567,0.367179214,0,0,0
121.866153,5.797248567,0.072326476,0,0,0
121.866153,5.797248567,0.555949449,0,0,0
121.866153,5.797248567,0.583388578,0,0,0
121.866153,5.797248567,0.110937441,57.30644988,276.3394727,1
121.866153,5.797248567,0.100751526,51.94841896,250.3616889,1
121.866153,5.797248567,0.09984652,51.47375117,248.0808591,1
185.4983298,5.797248567,0.050403216,30.90048095,204.9871405,1
185.4983298,5.797248567,0.207906701,143.2043354,1071.003673,1
185.4983298,5.797248567,0.311309167,234.8792198,2018.45386,1
185.4983298,5.797248567,0.167535726,111.6668932,799.3307907,1
185.4983298,5.797248567,0.148120025,97.23262092,682.9284694,1
185.4983298,5.797248567,0.367179214,0,0,0
185.4983298,5.797248567,0.072326476,44.94066637,298.8537036,1
185.4983298,5.797248567,0.110937441,70.81183696,481.8093627,1
185.4983298,5.797248567,0.100751526,63.83840664,431.1783387,1
185.4983298,5.797248567,0.09984652,63.22409673,426.7655032,1
80.39032929,5.797248567,0.050403216,26.77662483,100.2572173,1
80.39032929,5.797248567,0.451654202,243.7491635,1134.963958,1
80.39032929,5.797248567,0.207906701,93.29368847,401.4827989,1
80.39032929,5.797248567,0.311309167,0,0,0
80.39032929,5.797248567,0.167535726,74.59789687,320.6088841,1
80.39032929,5.797248567,0.724717047,600.4199284,4947.306,1
80.39032929,5.797248567,0.148120025,65.89555808,283.1066179,1
80.39032929,5.797248567,0.539620808,0,0,0
80.39032929,5.797248567,0.367179214,190.6944306,806.3249186,1
80.39032929,5.797248567,0.072326476,33.6299701,142.1514546,1
80.39032929,5.797248567,0.555949449,333.2446309,1813.956704,1
80.39032929,5.797248567,0.583388578,0,0,0
80.39032929,5.797248567,0.110937441,49.70854225,213.193287,1
80.39032929,5.797248567,0.100751526,45.38597185,194.3694814,1
80.39032929,5.797248567,0.09984652,45.00442768,192.7017834,1
112.2359336,5.797248567,0.050403216,27.13242517,122.2762902,1
112.2359336,5.797248567,0.451654202,291.5274155,1793.958508,1
112.2359336,5.797248567,0.207906701,0,0,0
112.2359336,5.797248567,0.311309167,0,0,0
112.2359336,5.797248567,0.167535726,86.60064682,401.2165234,1
112.2359336,5.797248567,0.148120025,76.16962276,349.7014991,1
112.2359336,5.797248567,0.539620808,392.1595396,2803.493884,1
112.2359336,5.797248567,0.367179214,0,0,0
112.2359336,5.797248567,0.072326476,36.61195544,168.932905,1
112.2359336,5.797248567,0.555949449,413.904577,3060.288853,1
112.2359336,5.797248567,0.583388578,453.0545827,3564.295185,1
112.2359336,5.797248567,0.110937441,56.53341153,257.1744228,1
112.2359336,5.797248567,0.100751526,51.23227668,233.1521226,1
112.2359336,5.797248567,0.09984652,50.76288669,231.0441757,1
171.6831778,5.797248567,0.050403216,0,0,0
171.6831778,5.797248567,0.207906701,136.6529761,939.718505,1
171.6831778,5.797248567,0.311309167,224.5709934,1753.040208,1
171.6831778,5.797248567,0.167535726,106.5114685,704.1950179,1
171.6831778,5.797248567,0.148120025,92.73175423,602.9105636,1
171.6831778,5.797248567,0.367179214,0,0,0
171.6831778,5.797248567,0.072326476,42.86449143,267.0304117,1
171.6831778,5.797248567,0.110937441,0,0,0
171.6831778,5.797248567,0.100751526,60.8795227,383.0495438,1
171.6831778,5.797248567,0.09984652,60.2938397,379.1855911,1
108.5917909,5.797248567,0.050403216,0,0,0
108.5917909,5.797248567,0.451654202,285.4065365,1704.712176,1
108.5917909,5.797248567,0.207906701,108.1165896,500.715575,1
108.5917909,5.797248567,0.311309167,168.8766546,855.3774701,1
108.5917909,5.797248567,0.167535726,86.1003921,389.2561717,1
108.5917909,5.797248567,0.148120025,75.7081038,339.290739,1
108.5917909,5.797248567,0.539620808,0,0,0
108.5917909,5.797248567,0.367179214,210.381955,1131.134183,1
108.5917909,5.797248567,0.072326476,36.36291374,164.2775132,1
108.5917909,5.797248567,0.555949449,405.4031875,2895.325804,1
108.5917909,5.797248567,0.583388578,443.9043436,3366.945962,1
108.5917909,5.797248567,0.110937441,0,0,0
108.5917909,5.797248567,0.100751526,50.89404948,226.394063,1
108.5917909,5.797248567,0.09984652,50.42734546,224.3540759,1
190.4413155,5.797248567,0.050403216,0,0,0
190.4413155,5.797248567,0.207906701,0,0,0
190.4413155,5.797248567,0.311309167,0,0,0
190.4413155,5.797248567,0.167535726,113.4458874,835.8104321,1
190.4413155,5.797248567,0.148120025,98.79082814,713.5735924,1
190.4413155,5.797248567,0.072326476,45.67078015,310.9973323,1
190.4413155,5.797248567,0.110937441,0,0,0
190.4413155,5.797248567,0.100751526,0,0,0
190.4413155,5.797248567,0.09984652,0,0,0
68.03980394,5.797248567,0.050403216,26.6251729,93.55249546,1
68.03980394,5.797248567,0.451654202,0,0,0
68.03980394,5.797248567,0.207906701,90.28691897,379.2322016,1
68.03980394,5.797248567,0.311309167,138.5216255,587.6275271,1
68.03980394,5.797248567,0.167535726,72.79738046,304.3315629,1
68.03980394,5.797248567,0.724717047,0,0,0
68.03980394,5.797248567,0.148120025,64.59569579,269.156033,1
68.03980394,5.797248567,0.539620808,294.6300084,1363.120396,1
68.03980394,5.797248567,0.367179214,170.584093,714.5539015,1
68.03980394,5.797248567,0.072326476,34.03856639,134.2844563,1
68.03980394,5.797248567,0.555949449,306.1330008,1452.281214,1
68.03980394,5.797248567,0.583388578,328.3693748,1636.613129,1
68.03980394,5.797248567,0.110937441,49.27316508,202.8424358,1
68.03980394,5.797248567,0.100751526,45.17566582,184.8087499,1
