Inlet TDS (g/kg),Outlet TDS (g/kg),Flow (L/s),CAPEX (kUSD/year),OPEX (kUSD/year),Energy (kW/year),Recovery,Status
178.7399574,250.6571564,26.40787632,199.197802,960.4872301,686.0623072,0.286914605,1
136.5510556,191.493272,26.40787632,183.3734004,800.9578594,572.1127567,0.286914605,1
136.5510556,296.0107239,26.40787632,355.095068,1582.104016,1130.074297,0.538695579,1
171.1722498,240.0445317,26.40787632,196.1762366,929.6076308,664.0054506,0.286914605,1
99.57201141,139.6354659,26.40787632,180.8394702,680.2944748,485.9246249,0.286914605,1
99.57201141,215.8488124,26.40787632,315.6991488,1192.958135,852.1129536,0.538695579,1
99.57201141,290.9101386,26.40787632,377.0792118,1696.948643,1212.106174,0.657722443,1
99.57201141,191.7967834,26.40787632,275.282141,1021.906711,729.9333651,0.480846291,1
99.57201141,111.0902642,26.40787632,180.8394702,680.2944748,485.9246249,0.103683729,1
99.57201141,117.2228236,26.40787632,180.8394702,680.2944748,485.9246249,0.150574877,1
132.2831082,185.5080879,26.40787632,181.9128137,786.5388578,561.8134699,0.286914605,1
132.2831082,286.7588131,26.40787632,350.3903127,1532.919149,1094.942249,0.538695579,1
148.7734534,208.6334322,26.40787632,187.7008427,844.0032085,602.8594347,0.286914605,1
79.03455976,110.8346354,26.40787632,237.0908157,811.5544718,579.6817656,0.286914605,1
79.03455976,171.3284247,26.40787632,295.6804315,1014.023221,724.302301,0.538695579,1
79.03455976,230.9078064,26.40787632,364.295421,1382.034644,987.1676032,0.657722443,1
79.03455976,152.2373017,26.40787632,258.4492706,881.175984,629.4114172,0.480846291,1
79.03455976,88.17708915,26.40787632,237.0908157,811.5544718,579.6817656,0.103683729,1
79.03455976,93.04476354,26.40787632,237.0908157,811.5544718,579.6817656,0.150574877,1
79.03455976,242.2378273,26.40787632,370.5803816,1447.866919,1034.190657,0.673731553,1
45.29836243,63.52445686,26.40787632,331.3203483,992.9981031,709.2843594,0.286914605,1
45.29836243,98.19624606,26.40787632,331.3203483,992.9981031,709.2843594,0.538695579,1
45.29836243,132.3439459,26.40787632,331.3203483,992.9981031,709.2843594,0.657722443,1
45.29836243,87.25424025,26.40787632,331.3203483,992.9981031,709.2843594,0.480846291,1
45.29836243,50.53836897,26.40787632,331.3203483,992.9981031,709.2843594,0.103683729,1
45.29836243,53.32825834,26.40787632,331.3203483,992.9981031,709.2843594,0.150574877,1
45.29836243,138.837705,26.40787632,336.7674911,1019.797592,728.4268512,0.673731553,1
138.3445728,194.0084227,26.40787632,183.9950421,807.1117759,576.5084113,0.286914605,1
138.3445728,299.8986494,26.40787632,356.2459826,1604.949275,1146.39234,0.538695579,1
166.8289472,233.9536727,26.40787632,194.4782205,912.3307061,651.6647901,0.286914605,1
40.46175289,56.74180563,26.40787632,339.7322225,1009.727165,721.2336895,0.286914605,1
40.46175289,87.71160877,26.40787632,339.7322225,1009.727165,721.2336895,0.538695579,1
40.46175289,118.2132808,26.40787632,339.7322225,1009.727165,721.2336895,0.657722443,1
40.46175289,77.9379059,26.40787632,339.7322225,1009.727165,721.2336895,0.480846291,1
40.46175289,45.14227198,26.40787632,339.7322225,1009.727165,721.2336895,0.103683729,1
40.46175289,47.6342785,26.40787632,339.7322225,1009.727165,721.2336895,0.150574877,1
40.46175289,124.0136864,26.40787632,339.7322225,1009.727165,721.2336895,0.673731553,1
40.46175289,285.8296073,26.40787632,314.8022773,1722.864809,1230.617721,0.858441002,1
40.46175289,45.65313115,26.40787632,339.7322225,1009.727165,721.2336895,0.11371352,1
62.08722632,87.0684307,26.40787632,289.2037697,915.5037194,653.9312282,0.286914605,1
62.08722632,134.5905729,26.40787632,289.2037697,915.5037194,653.9312282,0.538695579,1
62.08722632,181.3943834,26.40787632,346.7835613,1167.083373,833.630981,0.657722443,1
62.08722632,119.593148,26.40787632,289.2037697,915.5037194,653.9312282,0.480846291,1
62.08722632,69.2693286,26.40787632,289.2037697,915.5037194,653.9312282,0.103683729,1
62.08722632,73.09323047,26.40787632,289.2037697,915.5037194,653.9312282,0.150574877,1
62.08722632,190.2949147,26.40787632,353.7223523,1215.853274,868.4666245,0.673731553,1
199.0520069,279.1418927,26.40787632,207.7182566,1048.23257,748.7375503,0.286914605,1
180.4249018,253.0200492,26.40787632,199.8815371,967.4966774,691.0690553,0.286914605,1
39.69991957,55.67344365,26.40787632,340.8330762,1012.106553,722.9332523,0.286914605,1
39.69991957,86.06013246,26.40787632,340.8330762,1012.106553,722.9332523,0.538695579,1
39.69991957,115.9875043,26.40787632,340.8330762,1012.106553,722.9332523,0.657722443,1
39.69991957,76.47045356,26.40787632,340.8330762,1012.106553,722.9332523,0.480846291,1
39.69991957,44.29231159,26.40787632,340.8330762,1012.106553,722.9332523,0.103683729,1
39.69991957,46.73739742,26.40787632,340.8330762,1012.106553,722.9332523,0.150574877,1
39.69991957,121.6786971,26.40787632,340.8330762,1012.106553,722.9332523,0.673731553,1
39.69991957,280.4478701,26.40787632,315.0256604,1696.981648,1212.129748,0.858441002,1
39.69991957,44.79355206,26.40787632,340.8330762,1012.106553,722.9332523,0.11371352,1
163.8995097,229.8455567,26.40787632,193.3477643,900.8617049,643.4726463,0.286914605,1
45.8909094,64.35541901,26.40787632,330.1389471,990.7621198,707.6872284,0.286914605,1
45.8909094,99.48074919,26.40787632,330.1389471,990.7621198,707.6872284,0.538695579,1
45.8909094,134.0751344,26.40787632,330.3041224,991.5150976,708.2250697,0.657722443,1
45.8909094,88.39561123,26.40787632,330.1389471,990.7621198,707.6872284,0.480846291,1
45.8909094,51.19946037,26.40787632,330.1389471,990.7621198,707.6872284,0.103683729,1
45.8909094,54.02584423,26.40787632,330.1389471,990.7621198,707.6872284,0.150574877,1
45.8909094,140.6538383,26.40787632,337.3567615,1026.116706,732.9405041,0.673731553,1
166.1365111,232.9826304,26.40787632,194.2099367,909.6063887,649.7188491,0.286914605,1
68.91033792,96.63686618,26.40787632,268.8176793,876.4657112,626.0469366,0.286914605,1
68.91033792,149.3814817,26.40787632,286.4966031,935.8715216,668.4796583,0.538695579,1
68.91033792,201.328824,26.40787632,353.8567138,1249.900602,892.7861445,0.657722443,1
68.91033792,132.7359061,26.40787632,268.8176793,876.4657112,626.0469366,0.480846291,1
68.91033792,76.88172148,26.40787632,268.8176793,876.4657112,626.0469366,0.103683729,1
68.91033792,81.12585326,26.40787632,268.8176793,876.4657112,626.0469366,0.150574877,1
68.91033792,211.2074843,26.40787632,360.6027149,1305.299419,932.3567278,0.673731553,1
123.736035,173.5220435,26.40787632,179.067901,758.6176984,541.8697846,0.286914605,1
123.736035,268.230759,26.40787632,341.0727285,1437.723684,1026.945489,0.538695579,1
178.7399574,250.6571564,9.554236005,87.29619157,348.500122,248.9286585,0.286914605,1
136.5510556,191.493272,9.554236005,80.0054786,290.6879739,207.6342671,0.286914605,1
136.5510556,296.0107239,9.554236005,140.9925702,572.3972261,408.8551615,0.538695579,1
171.1722498,240.0445317,9.554236005,85.90680925,337.3111078,240.9365056,0.286914605,1
99.57201141,139.6354659,9.554236005,77.68812049,246.564691,176.1176364,0.286914605,1
99.57201141,215.8488124,9.554236005,124.0275656,431.6062159,308.2901542,0.538695579,1
99.57201141,290.9101386,9.554236005,150.847677,611.2862478,436.6330342,0.657722443,1
99.57201141,191.7967834,9.554236005,109.9508816,369.7206764,264.0861974,0.480846291,1
99.57201141,111.0902642,9.554236005,77.68812049,246.564691,176.1176364,0.103683729,1
99.57201141,117.2228236,9.554236005,77.68812049,246.564691,176.1176364,0.150574877,1
132.2831082,185.5080879,9.554236005,79.33156333,285.461572,203.9011228,0.286914605,1
132.2831082,286.7588131,9.554236005,138.9424928,554.6023902,396.1445644,0.538695579,1
148.7734534,208.6334322,9.554236005,82.0016387,306.289285,218.7780607,0.286914605,1
79.03455976,110.8346354,9.554236005,95.65077871,293.6163008,209.7259291,0.286914605,1
79.03455976,171.3284247,9.554236005,115.5686273,366.8684697,262.0489069,0.538695579,1
79.03455976,230.9078064,9.554236005,140.3862315,500.0131401,357.152243,0.657722443,1
79.03455976,152.2373017,9.554236005,102.9048276,318.8050116,227.7178654,0.480846291,1
79.03455976,88.17708915,9.554236005,95.65077871,293.6163008,209.7259291,0.103683729,1
79.03455976,93.04476354,9.554236005,95.65077871,293.6163008,209.7259291,0.150574877,1
79.03455976,242.2378273,9.554236005,143.1269567,523.8309239,374.1649457,0.673731553,1
45.29836243,63.52445686,9.554236005,125.045581,359.2616883,256.6154917,0.286914605,1
45.29836243,98.19624606,9.554236005,125.045581,359.2616883,256.6154917,0.538695579,1
45.29836243,132.3439459,9.554236005,125.045581,359.2616883,256.6154917,0.657722443,1
45.29836243,87.25424025,9.554236005,125.045581,359.2616883,256.6154917,0.480846291,1
45.29836243,50.53836897,9.554236005,125.045581,359.2616883,256.6154917,0.103683729,1
45.29836243,53.32825834,9.554236005,125.045581,359.2616883,256.6154917,0.150574877,1
45.29836243,138.837705,9.554236005,126.9807263,368.9576076,263.5411483,0.673731553,1
138.3445728,194.0084227,9.554236005,80.29228032,292.9184984,209.2274988,0.286914605,1
138.3445728,299.8986494,9.554236005,141.9042738,580.3361957,414.5258541,0.538695579,1
166.8289472,233.9536727,9.554236005,85.12516648,331.0506405,236.4647432,0.286914605,1
40.46175289,56.74180563,9.554236005,127.6150958,365.3141783,260.9386988,0.286914605,1
40.46175289,87.71160877,9.554236005,127.6150958,365.3141783,260.9386988,0.538695579,1
40.46175289,118.2132808,9.554236005,127.6150958,365.3141783,260.9386988,0.657722443,1
40.46175289,77.9379059,9.554236005,127.6150958,365.3141783,260.9386988,0.480846291,1
40.46175289,45.14227198,9.554236005,127.6150958,365.3141783,260.9386988,0.103683729,1
40.46175289,47.6342785,9.554236005,127.6150958,365.3141783,260.9386988,0.150574877,1
40.46175289,124.0136864,9.554236005,127.6150958,365.3141783,260.9386988,0.673731553,1
40.46175289,285.8296073,9.554236005,131.0783147,623.3237687,445.2312634,0.858441002,1
40.46175289,45.65313115,9.554236005,127.6150958,365.3141783,260.9386988,0.11371352,1
62.08722632,87.0684307,9.554236005,112.1381802,331.2246125,236.5890089,0.286914605,1
62.08722632,134.5905729,9.554236005,112.1381802,331.2246125,236.5890089,0.538695579,1
62.08722632,181.3943834,9.554236005,132.1562299,422.2448581,301.6034701,0.657722443,1
62.08722632,119.593148,9.554236005,112.1381802,331.2246125,236.5890089,0.480846291,1
62.08722632,69.2693286,9.554236005,112.1381802,331.2246125,236.5890089,0.103683729,1
62.08722632,73.09323047,9.554236005,112.1381802,331.2246125,236.5890089,0.150574877,1
62.08722632,190.2949147,9.554236005,134.8380827,439.8895614,314.2068296,0.673731553,1
199.0520069,279.1418927,9.554236005,91.19494218,380.2905845,271.6361318,0.286914605,1
180.4249018,253.0200492,9.554236005,87.61024591,351.0398575,250.7427554,0.286914605,1
39.69991957,55.67344365,9.554236005,127.9538266,366.1750289,261.553592,0.286914605,1
39.69991957,86.06013246,9.554236005,127.9538266,366.1750289,261.553592,0.538695579,1
39.69991957,115.9875043,9.554236005,127.9538266,366.1750289,261.553592,0.657722443,1
39.69991957,76.47045356,9.554236005,127.9538266,366.1750289,261.553592,0.480846291,1
39.69991957,44.29231159,9.554236005,127.9538266,366.1750289,261.553592,0.103683729,1
39.69991957,46.73739742,9.554236005,127.9538266,366.1750289,261.553592,0.150574877,1
39.69991957,121.6786971,9.554236005,127.9538266,366.1750289,261.553592,0.673731553,1
39.69991957,280.4478701,9.554236005,130.806412,613.9593721,438.5424086,0.858441002,1
39.69991957,44.79355206,9.554236005,127.9538266,366.1750289,261.553592,0.11371352,1
163.8995097,229.8455567,9.554236005,84.60452511,326.8946137,233.4961526,0.286914605,1
45.8909094,64.35541901,9.554236005,124.6858427,358.4527209,256.0376578,0.286914605,1
45.8909094,99.48074919,9.554236005,124.6858427,358.4527209,256.0376578,0.538695579,1
45.8909094,134.0751344,9.554236005,124.7436035,358.7251444,256.232246,0.657722443,1
45.8909094,88.39561123,9.554236005,124.6858427,358.4527209,256.0376578,0.480846291,1
45.8909094,51.19946037,9.554236005,124.6858427,358.4527209,256.0376578,0.103683729,1
45.8909094,54.02584423,9.554236005,124.6858427,358.4527209,256.0376578,0.150574877,1
45.8909094,140.6538383,9.554236005,127.2474986,371.2438311,265.1741651,0.673731553,1
166.1365111,232.9826304,9.554236005,85.00162333,330.0634372,235.759598,0.286914605,1
68.91033792,96.63686618,9.554236005,105.769898,317.1008587,226.5006133,0.286914605,1
68.91033792,149.3814817,9.554236005,111.7196142,338.5935802,241.8525573,0.538695579,1
68.91033792,201.328824,9.554236005,135.4303188,452.2077124,323.0055088,0.657722443,1
68.91033792,132.7359061,9.554236005,105.769898,317.1008587,226.5006133,0.480846291,1
68.91033792,76.88172148,9.554236005,105.769898,317.1008587,226.5006133,0.103683729,1
68.91033792,81.12585326,9.554236005,105.769898,317.1008587,226.5006133,0.150574877,1
68.91033792,211.2074843,9.554236005,138.1536134,472.2507239,337.3219456,0.673731553,1
123.736035,173.5220435,9.554236005,78.0187062,275.340469,196.6717635,0.286914605,1
123.736035,268.230759,9.554236005,134.9022216,520.1611529,371.5436806,0.538695579,1
178.7399574,250.6571564,6.111642106,62.86940361,223.4726089,159.623292,0.286914605,1
136.5510556,191.493272,6.111642106,57.68798808,186.4351887,133.167992,0.286914605,1
136.5510556,296.0107239,6.111642106,97.57346534,366.1503638,261.5359741,0.538695579,1
171.1722498,240.0445317,6.111642106,61.88244977,216.3053288,154.5038063,0.286914605,1
99.57201141,139.6354659,6.111642106,55.71710197,158.2099514,113.0071082,0.286914605,1
99.57201141,215.8488124,6.111642106,85.74839414,276.089341,197.2066722,0.538695579,1
99.57201141,290.9101386,6.111642106,103.7661325,391.026846,279.30489,0.657722443,1
99.57201141,191.7967834,6.111642106,76.59966477,236.5024741,168.9303387,0.480846291,1
99.57201141,111.0902642,6.111642106,55.71710197,158.2099514,113.0071082,0.103683729,1
99.57201141,117.2228236,6.111642106,55.71710197,158.2099514,113.0071082,0.150574877,1
132.2831082,185.5080879,6.111642106,57.20884597,183.0861866,130.7758476,0.286914605,1
132.2831082,286.7588131,6.111642106,96.13968292,354.7673847,253.4052748,0.538695579,1
148.7734534,208.6334322,6.111642106,59.10708386,196.4315065,140.3082189,0.286914605,1
79.03455976,110.8346354,6.111642106,67.06270515,187.8201194,134.1572281,0.286914605,1
